"station","latitude","longitude","elevation"
"GHCND:SP000003195",40.4117,-3.6781,667
"GHCND:SP000004452",38.8831,-6.8292,185
"GHCND:SP000006155",36.6667,-4.4881,7
"GHCND:SP000008027",43.3075,-2.0392,251
"GHCND:SP000008181",41.2928,2.0697,4
"GHCND:SP000008202",40.9592,-5.4981,790
"GHCND:SP000008215",40.7806,-4.0103,1894
"GHCND:SP000008280",38.9519,-1.8631,704
"GHCND:SP000008410",37.8442,-4.8458,90
"GHCND:SP000009434",41.6617,-1.0081,247
"GHCND:SP000009981",40.8206,0.4914,44
"GHCND:SP000060010",28.3089,-16.4992,2371
"GHCND:SP000060040",28.9517,-13.6003,14
"GHCND:SPE00119711",43.3669,-8.4192,58
"GHCND:SPE00119720",43.3067,-8.3719,98
"GHCND:SPE00119729",42.8878,-8.4106,370
"GHCND:SPE00119747",42.8717,-2.7331,513
"GHCND:SPE00119756",39.0067,-1.8606,674
"GHCND:SPE00119783",36.8464,-2.3567,21
"GHCND:SPE00119792",43.5667,-6.0442,127
"GHCND:SPE00119801",43.5381,-5.6417,22
"GHCND:SPE00119819",43.5606,-5.6983,5
"GHCND:SPE00119828",43.3542,-5.8728,336
"GHCND:SPE00119837",40.6592,-4.68,1130
"GHCND:SPE00119855",38.8764,1.3842,6
"GHCND:SPE00119864",39.8544,4.2156,91
"GHCND:SPE00119873",39.5556,2.6264,3
"GHCND:SPE00119882",39.5606,2.7367,8
"GHCND:SPE00119891",41.4192,2.1253,412
"GHCND:SPE00119909",42.3558,-3.6325,890
"GHCND:SPE00119918",39.4719,-6.3392,405
"GHCND:SPE00119927",39.4831,-6.3667,459
"GHCND:SPE00119936",36.5008,-6.2567,1
"GHCND:SPE00119945",36.7506,-6.0556,27
"GHCND:SPE00119954",36.6389,-6.3317,21
"GHCND:SPE00119963",36.0153,-5.5975,32
"GHCND:SPE00119972",43.4644,-3.8189,64
"GHCND:SPE00119981",43.4917,-3.7994,52
"GHCND:SPE00119990",43.4292,-3.8314,5
"GHCND:SPE00120017",35.89,-5.3456,87
"GHCND:SPE00120026",35.8919,-5.2892,200
"GHCND:SPE00120035",38.9892,-3.9194,628
"GHCND:SPE00120062",40.0667,-2.1381,945
"GHCND:SPE00120080",41.9117,2.7631,143
"GHCND:SPE00120089",37.1894,-3.7892,567
"GHCND:SPE00120098",37.1367,-3.6314,687
"GHCND:SPE00120107",40.6608,-3.1742,639
"GHCND:SPE00120116",40.6344,-3.1642,685
"GHCND:SPE00120125",40.8442,-1.8853,1056
"GHCND:SPE00120134",43.3606,-1.7869,4
"GHCND:SPE00120143",37.28,-6.9094,19
"GHCND:SPE00120161",42.0831,0.3264,541
"GHCND:SPE00120170",37.7778,-3.8075,582
"GHCND:SPE00120188",42.4519,-2.3308,353
"GHCND:SPE00120197",28.4444,-13.8631,25
"GHCND:SPE00120215",27.9225,-15.3892,24
"GHCND:SPE00120224",42.5889,-5.6492,916
"GHCND:SPE00120233",42.5639,-6.6,534
"GHCND:SPE00120242",41.6256,0.595,192
"GHCND:SPE00120260",43.1153,-7.4558,445
"GHCND:SPE00120269",40.6983,-3.7642,1004
"GHCND:SPE00120278",40.4667,-3.5556,609
"GHCND:SPE00120287",40.3778,-3.7892,687
"GHCND:SPE00120296",40.3,-3.7225,617
"GHCND:SPE00120305",40.4831,-3.4503,611
"GHCND:SPE00120323",38.0028,-1.1692,61
"GHCND:SPE00120332",37.9578,-1.2294,85
"GHCND:SPE00120350",42.8175,-1.6364,442
"GHCND:SPE00120359",42.7767,-1.65,459
"GHCND:SPE00120368",42.3278,-7.8603,143
"GHCND:SPE00120386",42.0081,-4.5353,750
"GHCND:SPE00120395",42.44,-8.6164,108
"GHCND:SPE00120404",42.4306,-8.6494,19
"GHCND:SPE00120413",42.2392,-8.6239,261
"GHCND:SPE00120422",40.9564,-5.6614,775
"GHCND:SPE00120431",27.8189,-17.8889,32
"GHCND:SPE00120449",28.6331,-17.755,33
"GHCND:SPE00120458",28.4631,-16.2553,35
"GHCND:SPE00120467",28.4775,-16.3292,632
"GHCND:SPE00120476",28.0475,-16.5606,64
"GHCND:SPE00120485",40.9478,-4.1269,1005
"GHCND:SPE00120494",40.9478,-4.1153,990
"GHCND:SPE00120503",37.1581,-5.6156,87
"GHCND:SPE00120512",37.4167,-5.8792,34
"GHCND:SPE00120521",41.775,-2.4831,1082
"GHCND:SPE00120530",41.1494,1.1789,71
"GHCND:SPE00120539",40.9258,-1.2931,890
"GHCND:SPE00120548",40.8653,-1.3044,932
"GHCND:SPE00120557",40.3494,-1.1167,900
"GHCND:SPE00120566",39.8844,-4.0492,515
"GHCND:SPE00120593",41.65,-4.7667,735
"GHCND:SPE00120602",41.7,-4.85,846
"GHCND:SPE00120611",43.2981,-2.9056,42
"GHCND:SPE00120620",41.5167,-5.7333,656
"GHCND:SPE00120629",41.1144,-1.4106,779
"GHCND:SPW00013025",36.65,-6.35,25.6
